AutoSize attribute is deprecated,ToolTips.xml/BG
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/LanguageOptions/Stack/Stack/DisplayLanguagePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/LanguageOptions/Stack/Stack/SpokenLanguagePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/ClockFormat/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/StartInStrategicView/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/MouseGrabPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/EdgeScrollPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/AutoProdQueuePullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/ReplaceDragWithClickPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/UnitCyclingPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/RibbonStatsPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/PlayByCloudEndTurnBehavior/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/PlayByCloudClientReadyBehavior/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/ColorblindAdaptation/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/Container/InterfaceOptions/Stack/Stack/RGBControl/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/MainGrid/MainWindow/Content/ApplicationOptions/Stack/Stack/ShowIntroPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on auto-sized control on Y-axis,/FrontEnd/FrontEndContainer/MainMenu/Options/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/CreditsScreen/Stack/CreditsChoice/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/SortByPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/MainGrid/MainWindow/Grid/Grid/Stack/Grid/Stack/DirectoryPullDown/Grid/ScrollPanel
SetSize called on parent-sized control on X-axis,/FrontEnd/FrontEndContainer/MainMenu/Lobby/LoadGameMenu/PopupRoot/PopupAlphaIn/PopupSlideIn/Grid/PopupBox/PopupStack
