Game Turn, Player, Boosted System, Progress
24, 0, CIVIC_STATE_WORKFORCE, Unstarted
25, 0, TECH_IRRIGATION, Unstarted
25, 14, TECH_MASONRY, Unstarted
26, 0, CIVIC_MILITARY_TRADITION, Unstarted
26, 5, CIVIC_FOREIGN_TRADE, Unstarted
26, 6, CIVIC_EARLY_EMPIRE, Unstarted
26, 8, CIVIC_EARLY_EMPIRE, Unstarted
26, 10, TECH_HORSEBACK_RIDING, Unstarted
26, 20, TECH_HORSEBACK_RIDING, Unstarted
27, 2, CIVIC_FEUDALISM, Unstarted
27, 0, TECH_WRITING, Unstarted
27, 5, TECH_WRITING, Completed
27, 8, CIVIC_MYSTICISM, Unstarted
27, 9, TECH_BRONZE_WORKING, Unstarted
28, 0, CIVIC_CRAFTSMANSHIP, Unstarted
28, 13, TECH_IRRIGATION, Unstarted
28, 17, TECH_BRONZE_WORKING, In Progress
29, 9, TECH_HORSEBACK_RIDING, Unstarted
29, 16, TECH_MASONRY, Unstarted
31, 1, TECH_ARCHERY, Unstarted
31, 1, TECH_BRONZE_WORKING, Unstarted
32, 2, CIVIC_RECORDED_HISTORY, Unstarted
33, 6, TECH_ENGINEERING, Unstarted
33, 24, TECH_BRONZE_WORKING, Unstarted
34, 7, CIVIC_DRAMA_POETRY, Unstarted
34, 7, CIVIC_THEOLOGY, Unstarted
34, 16, TECH_BRONZE_WORKING, In Progress
35, 0, TECH_CURRENCY, Unstarted
35, 1, CIVIC_DRAMA_POETRY, In Progress
35, 1, CIVIC_MYSTICISM, Unstarted
35, 11, CIVIC_EARLY_EMPIRE, Completed
36, 1, TECH_APPRENTICESHIP, Unstarted
36, 3, CIVIC_MYSTICISM, Unstarted
36, 4, TECH_CONSTRUCTION, Unstarted
37, 5, TECH_CURRENCY, Completed
37, 8, TECH_MACHINERY, Unstarted
38, 3, CIVIC_MILITARY_TRAINING, Unstarted
38, 3, TECH_MATHEMATICS, Unstarted
38, 5, TECH_ENGINEERING, Completed
38, 9, TECH_CURRENCY, Unstarted
39, 6, TECH_BRONZE_WORKING, Unstarted
39, 9, TECH_SHIPBUILDING, Unstarted
40, 3, CIVIC_RECORDED_HISTORY, Unstarted
40, 5, CIVIC_POLITICAL_PHILOSOPHY, In Progress
41, 0, CIVIC_MYSTICISM, In Progress
41, 3, TECH_THE_WHEEL, Unstarted
41, 6, TECH_SHIPBUILDING, Unstarted
42, 1, TECH_ENGINEERING, Unstarted
42, 1, CIVIC_FEUDALISM, Unstarted
42, 8, TECH_THE_WHEEL, Unstarted
43, 2, CIVIC_MERCENARIES, Unstarted
43, 4, TECH_SHIPBUILDING, Unstarted
43, 18, TECH_IRON_WORKING, Unstarted
44, 2, TECH_EDUCATION, Unstarted
44, 2, TECH_THE_WHEEL, Unstarted
44, 3, CIVIC_FEUDALISM, Unstarted
44, 7, CIVIC_FEUDALISM, Unstarted
44, 8, TECH_WRITING, Unstarted
44, 18, TECH_CURRENCY, Unstarted
45, 1, TECH_WRITING, In Progress
45, 2, CIVIC_DEFENSIVE_TACTICS, Unstarted
45, 10, CIVIC_NATIONALISM, Unstarted
45, 5, TECH_MASS_PRODUCTION, Completed
45, 6, CIVIC_RECORDED_HISTORY, Unstarted
46, 5, CIVIC_RECORDED_HISTORY, Unstarted
46, 9, TECH_WRITING, Unstarted
46, 8, TECH_BRONZE_WORKING, Unstarted
47, 2, TECH_ARCHERY, Unstarted
48, 8, TECH_ENGINEERING, Unstarted
48, 9, TECH_IRRIGATION, Unstarted
49, 5, TECH_EDUCATION, Completed
49, 8, TECH_CELESTIAL_NAVIGATION, Unstarted
50, 7, TECH_ENGINEERING, Unstarted
51, 11, CIVIC_NATIONALISM, Unstarted
52, 1, TECH_SHIPBUILDING, Completed
52, 8, TECH_APPRENTICESHIP, Unstarted
53, 8, TECH_SHIPBUILDING, Unstarted
53, 9, TECH_MASONRY, Unstarted
53, 20, TECH_MACHINERY, Unstarted
54, 3, TECH_ARCHERY, Unstarted
54, 8, TECH_CONSTRUCTION, Unstarted
55, 1, CIVIC_THEOLOGY, Unstarted
55, 7, TECH_CELESTIAL_NAVIGATION, Unstarted
56, 9, CIVIC_FEUDALISM, Unstarted
60, 0, CIVIC_EARLY_EMPIRE, Unstarted
60, 3, CIVIC_THEOLOGY, Unstarted
60, 6, CIVIC_MYSTICISM, Unstarted
60, 21, CIVIC_DEFENSIVE_TACTICS, In Progress
60, 20, CIVIC_NATIONALISM, Unstarted
60, 18, TECH_APPRENTICESHIP, Unstarted
60, 19, TECH_BRONZE_WORKING, Completed
61, 0, CIVIC_THEOLOGY, Unstarted
61, 2, TECH_CELESTIAL_NAVIGATION, Unstarted
61, 9, TECH_APPRENTICESHIP, Unstarted
61, 10, TECH_CURRENCY, Completed
62, 8, CIVIC_THEOLOGY, Unstarted
62, 9, TECH_CONSTRUCTION, Unstarted
62, 17, TECH_CURRENCY, Completed
63, 1, TECH_STIRRUPS, Unstarted
65, 9, CIVIC_MYSTICISM, Unstarted
67, 1, TECH_IRON_WORKING, Unstarted
69, 6, TECH_EDUCATION, Unstarted
69, 20, TECH_IRRIGATION, Unstarted
70, 1, TECH_CONSTRUCTION, Unstarted
71, 4, TECH_ENGINEERING, Completed
71, 4, CIVIC_MERCANTILISM, Unstarted
72, 20, CIVIC_MERCENARIES, Unstarted
73, 4, TECH_STIRRUPS, Unstarted
73, 7, CIVIC_REFORMED_CHURCH, Unstarted
73, 12, TECH_MASONRY, Completed
74, 3, TECH_MACHINERY, Unstarted
74, 5, CIVIC_COLONIALISM, Unstarted
74, 5, TECH_ASTRONOMY, Completed
74, 5, CIVIC_THE_ENLIGHTENMENT, Unstarted
75, 2, CIVIC_THE_ENLIGHTENMENT, Unstarted
76, 1, CIVIC_REFORMED_CHURCH, Unstarted
76, 9, TECH_CARTOGRAPHY, Unstarted
76, 12, CIVIC_FEUDALISM, Unstarted
77, 0, CIVIC_DRAMA_POETRY, Unstarted
77, 7, TECH_STIRRUPS, Unstarted
77, 19, TECH_CONSTRUCTION, Unstarted
77, 22, CIVIC_MERCENARIES, Unstarted
78, 9, TECH_STIRRUPS, Unstarted
78, 9, TECH_MACHINERY, Unstarted
79, 5, TECH_STIRRUPS, Completed
79, 8, TECH_MILITARY_TACTICS, Unstarted
79, 11, TECH_STIRRUPS, Unstarted
79, 21, TECH_STIRRUPS, Unstarted
80, 4, TECH_EDUCATION, Unstarted
80, 4, CIVIC_THE_ENLIGHTENMENT, Unstarted
80, 20, TECH_CONSTRUCTION, Unstarted
81, 9, TECH_BUTTRESS, Unstarted
82, 0, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
82, 1, TECH_HORSEBACK_RIDING, Unstarted
83, 4, TECH_BANKING, Unstarted
83, 8, TECH_STIRRUPS, Unstarted
84, 18, CIVIC_NATIONALISM, Unstarted
85, 1, TECH_BANKING, Unstarted
85, 1, CIVIC_NAVAL_TRADITION, Unstarted
85, 3, CIVIC_REFORMED_CHURCH, Unstarted
86, 3, TECH_CONSTRUCTION, Unstarted
86, 5, TECH_PRINTING, Completed
86, 14, TECH_CONSTRUCTION, In Progress
88, 5, TECH_BANKING, Completed
88, 7, TECH_BANKING, Unstarted
89, 0, CIVIC_MEDIEVAL_FAIRES, Unstarted
89, 1, CIVIC_MERCENARIES, Unstarted
89, 2, TECH_BANKING, Unstarted
89, 7, TECH_MILITARY_ENGINEERING, Unstarted
90, 5, TECH_APPRENTICESHIP, Completed
90, 6, CIVIC_EXPLORATION, Unstarted
90, 9, TECH_IRON_WORKING, Unstarted
90, 14, TECH_STIRRUPS, Unstarted
90, 15, TECH_STIRRUPS, Unstarted
90, 16, TECH_STIRRUPS, Unstarted
90, 17, TECH_STIRRUPS, Unstarted
90, 18, TECH_STIRRUPS, Unstarted
90, 19, TECH_STIRRUPS, Unstarted
90, 20, TECH_STIRRUPS, Unstarted
90, 22, TECH_STIRRUPS, Unstarted
90, 23, TECH_STIRRUPS, Unstarted
91, 8, TECH_MASS_PRODUCTION, Unstarted
92, 17, TECH_CONSTRUCTION, Completed
92, 19, TECH_IRRIGATION, Completed
94, 8, TECH_BANKING, Unstarted
95, 6, TECH_STIRRUPS, Unstarted
95, 6, TECH_MILITARY_ENGINEERING, In Progress
96, 19, TECH_MASS_PRODUCTION, Unstarted
96, 24, TECH_STIRRUPS, Unstarted
98, 0, TECH_MATHEMATICS, Unstarted
98, 9, TECH_BANKING, Unstarted
