Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
34, Granted to Player, GREAT_PERSON_INDIVIDUAL_LAOZI, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 7, 34
34, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
34, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LAOZI, GREAT_PERSON_CLASS_PROPHET, Era TBD, 7
44, Granted to Player, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 2, 44
44, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
45, Great Person Activated, GREAT_PERSON_INDIVIDUAL_EUCLID, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
45, Granted to Player, GREAT_PERSON_INDIVIDUAL_SUN_TZU, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, 4, 45
45, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, -1, -1
49, Granted to Player, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 5, 49
49, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ARYABHATA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
50, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HYPATIA, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 5
54, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 1, 54
54, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
55, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZOROASTER, GREAT_PERSON_CLASS_PROPHET, Era TBD, 1
56, Granted to Player, GREAT_PERSON_INDIVIDUAL_ARYABHATA, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 2, 56
56, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, -1, -1
56, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ARYABHATA, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
57, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, ERA_CLASSICAL, 60, 5, 57
57, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, -1, -1
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZHANG_HENG, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 5
59, Granted to Player, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 3, 59
