Turn, Event, Origin City, Destination City, Attached Resource, Origin Yields
81, Route Started, LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_GENEVA,Resource -1 (x0),Origin Yields,0.00,0.00,19.50,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
81, Route Started, LOC_CITY_NAME_HATTUSA, LOC_CITY_NAME_CULLEN,Resource -1 (x0),Origin Yields,0.00,0.00,6.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
84, Route Ended (War Declared), LOC_CITY_NAME_DUR_KURIGALZU, LOC_CITY_NAME_JOHANNESBURG,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,0.00,2.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
84, Route Ended (War Declared), LOC_CITY_NAME_JOHANNESBURG, LOC_CITY_NAME_TUTTUL,Resource -1 (x0),Origin Yields,0.00,0.00,3.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
85, Route Started, LOC_CITY_NAME_MUSCAT, LOC_CITY_NAME_RATUMACOS,Resource -1 (x0),Origin Yields,0.00,0.00,3.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
85, Route Ended (Expired), LOC_CITY_NAME_BOLOGNA, LOC_CITY_NAME_DUMBARTON,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
86, Route Started, LOC_CITY_NAME_BOLOGNA, LOC_CITY_NAME_DUMBARTON,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
88, Route Started, LOC_CITY_NAME_MADURAI, LOC_CITY_NAME_PATNA,Resource -1 (x0),Origin Yields,3.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
89, Route Started, LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_LISBON,Resource -1 (x0),Origin Yields,0.00,0.00,27.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
91, Route Started, LOC_CITY_NAME_COIMBRA, LOC_CITY_NAME_LISBON,Resource -1 (x0),Origin Yields,0.00,0.00,21.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
96, Route Ended (Expired), LOC_CITY_NAME_ROXBURGH, LOC_CITY_NAME_BOLOGNA,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
97, Route Started, LOC_CITY_NAME_ROXBURGH, LOC_CITY_NAME_HATTUSA,Resource -1 (x0),Origin Yields,0.00,0.00,12.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
100, Route Ended (Expired), LOC_CITY_NAME_SAMARKAND, LOC_CITY_NAME_RAVENNA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
101, Route Started, LOC_CITY_NAME_SAMARKAND, LOC_CITY_NAME_MBAMBA,Resource -1 (x0),Origin Yields,0.00,0.00,3.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
103, Route Started, LOC_CITY_NAME_DION, LOC_CITY_NAME_PELLA,Resource -1 (x0),Origin Yields,3.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
104, Route Ended (Expired), LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_XOCHICALCO,Resource -1 (x0),Origin Yields,0.00,0.00,19.50,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
105, Route Started, LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_MALINALCO,Resource -1 (x0),Origin Yields,0.00,0.00,27.00,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
105, Route Ended (Expired), LOC_CITY_NAME_BANDAR_BRUNEI, LOC_CITY_NAME_DELHI,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
106, Route Started, LOC_CITY_NAME_BANDAR_BRUNEI, LOC_CITY_NAME_MUMBAI,Resource -1 (x0),Origin Yields,0.00,0.00,6.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
108, Route Started, LOC_CITY_NAME_GUARDA, LOC_CITY_NAME_LISBON,Resource -1 (x0),Origin Yields,0.00,0.00,21.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
110, Route Started, LOC_CITY_NAME_ADELAIDE, LOC_CITY_NAME_BIBRAX,Resource -1 (x0),Origin Yields,0.00,0.00,12.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
110, Route Ended (Expired), LOC_CITY_NAME_ANTIOCH, LOC_CITY_NAME_PYDNA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
111, Route Started, LOC_CITY_NAME_ANTIOCH, LOC_CITY_NAME_PYDNA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
112, Route Ended (Expired), LOC_CITY_NAME_COIMBRA, LOC_CITY_NAME_GENEVA,Resource -1 (x0),Origin Yields,0.00,0.00,22.50,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
112, Route Ended (Expired), LOC_CITY_NAME_HATTUSA, LOC_CITY_NAME_CULLEN,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
113, Route Started, LOC_CITY_NAME_COIMBRA, LOC_CITY_NAME_GENEVA,Resource -1 (x0),Origin Yields,0.00,0.00,22.50,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
113, Route Ended (Expired), LOC_CITY_NAME_KUMASI, LOC_CITY_NAME_ESHNUNNA,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
113, Route Started, LOC_CITY_NAME_HATTUSA, LOC_CITY_NAME_CULLEN,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
114, Route Started, LOC_CITY_NAME_KUMASI, LOC_CITY_NAME_PUTEOLI,Resource -1 (x0),Origin Yields,0.00,0.00,6.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
116, Route Started, LOC_CITY_NAME_COIMBRA, LOC_CITY_NAME_MALINALCO,Resource -1 (x0),Origin Yields,0.00,0.00,21.00,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
116, Route Started, LOC_CITY_NAME_JOHANNESBURG, LOC_CITY_NAME_GENEVA,Resource -1 (x0),Origin Yields,0.00,0.00,10.78,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
116, Route Ended (Expired), LOC_CITY_NAME_MUSCAT, LOC_CITY_NAME_RATUMACOS,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
117, Route Started, LOC_CITY_NAME_MUSCAT, LOC_CITY_NAME_BIBRAX,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
119, Route Ended (Expired), LOC_CITY_NAME_MADURAI, LOC_CITY_NAME_PATNA,Resource -1 (x0),Origin Yields,3.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
119, Route Ended (Expired), LOC_CITY_NAME_PELLA, LOC_CITY_NAME_DUNDEE,Resource -1 (x0),Origin Yields,0.00,0.00,10.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
119, Route Ended (Plundered), LOC_CITY_NAME_HATTUSA, LOC_CITY_NAME_CULLEN,Resource -1 (x0),Origin Yields,0.00,1.00,7.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
120, Route Started, LOC_CITY_NAME_MADURAI, LOC_CITY_NAME_DELHI,Resource -1 (x0),Origin Yields,3.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
120, Route Started, LOC_CITY_NAME_PELLA, LOC_CITY_NAME_HATTUSA,Resource -1 (x0),Origin Yields,0.00,0.00,13.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
121, Route Started, LOC_CITY_NAME_CANBERRA, LOC_CITY_NAME_PERTH,Resource -1 (x0),Origin Yields,3.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
121, Route Ended (Expired), LOC_CITY_NAME_BOLOGNA, LOC_CITY_NAME_DUMBARTON,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
