Player,FromPlayer,Delta,New Total Weariness,Reason
2, 4, 34, 250, Attacking
4, 2, -50, 1732, At War Decay
4, 2, 68, 1800, Attacking
2, 4, -50, 200, At War Decay
4, 2, -50, 1750, At War Decay
4, 2, 68, 1818, Attacking
2, 4, -50, 150, At War Decay
4, 2, -50, 1768, At War Decay
4, 2, 68, 1836, Attacking
4, 2, 68, 1904, Attacking
2, 4, -50, 100, At War Decay
2, 4, 68, 168, Attacking
4, 2, -50, 1854, At War Decay
4, 2, 68, 1922, Attacking
2, 4, -50, 118, At War Decay
2, 4, 68, 186, Attacking
4, 2, -50, 1872, At War Decay
4, 2, 68, 1940, Attacking
2, 4, -50, 136, At War Decay
2, 4, 68, 204, Attacking
4, 2, -50, 1890, At War Decay
4, 2, 68, 1958, Attacking
4, 2, 34, 1992, Attacking
2, 4, -50, 154, At War Decay
2, 4, 68, 222, Attacking
4, 2, -50, 1942, At War Decay
4, 2, 68, 2010, Attacking
2, 4, -50, 172, At War Decay
2, 4, 68, 240, Attacking
4, 2, -50, 1960, At War Decay
2, 4, -50, 190, At War Decay
2, 4, 68, 258, Attacking
4, 2, -50, 1910, At War Decay
2, 4, -50, 208, At War Decay
2, 4, 68, 276, Attacking
4, 2, -50, 1860, At War Decay
2, 4, -50, 226, At War Decay
2, 4, 68, 294, Attacking
4, 2, -50, 1810, At War Decay
2, 4, -50, 244, At War Decay
4, 2, -50, 1760, At War Decay
2, 4, -50, 194, At War Decay
2, 4, 68, 262, Attacking
4, 2, -50, 1710, At War Decay
2, 4, -50, 212, At War Decay
4, 2, -50, 1660, At War Decay
4, 2, 68, 1728, Attacking
2, 4, -50, 162, At War Decay
2, 4, 86, 248, Attacking
4, 2, -50, 1678, At War Decay
4, 2, 43, 1721, Attacking
4, 2, 86, 1807, Attacking
23, 5, -2000, 0, We Made Peace
5, 23, -2000, 0, They Made Peace
23, 10, -2000, 0, We Made Peace
10, 23, -2000, 0, They Made Peace
23, 18, -2000, 0, We Made Peace
18, 23, -2000, 0, They Made Peace
2, 4, -50, 198, At War Decay
4, 2, -50, 1757, At War Decay
2, 4, -50, 148, At War Decay
4, 2, -50, 1707, At War Decay
2, 4, -50, 98, At War Decay
4, 2, -50, 1657, At War Decay
2, 4, -50, 48, At War Decay
4, 2, -50, 1607, At War Decay
2, 4, -50, 0, At War Decay
2, 4, 86, 86, Attacking
4, 2, -50, 1557, At War Decay
4, 5, 16, 16, Attacking
5, 4, 32, 32, Getting Attacked
4, 5, 32, 48, Attacking
5, 4, 32, 64, Getting Attacked
5, 4, -50, 14, At War Decay
5, 4, 32, 46, Attacking
4, 5, 16, 64, Getting Attacked
2, 4, -50, 36, At War Decay
4, 2, -50, 1507, At War Decay
4, 5, -50, 14, At War Decay
4, 5, 32, 46, Attacking
5, 4, 32, 78, Getting Attacked
4, 5, 32, 78, Attacking
5, 4, 32, 110, Getting Attacked
5, 4, -50, 60, At War Decay
2, 4, -50, 0, At War Decay
4, 2, -50, 1457, At War Decay
4, 5, -50, 28, At War Decay
4, 5, 32, 60, Attacking
5, 4, 80, 140, Getting Attacked
5, 4, -50, 90, At War Decay
4, 2, -50, 1407, At War Decay
4, 5, -50, 10, At War Decay
20, 21, -2000, 0, We Made Peace
21, 20, -2000, 0, They Made Peace
4, 5, 16, 26, Attacking
5, 4, 80, 170, Getting Attacked
5, 4, -50, 120, At War Decay
6, 5, 32, 32, Attacking
5, 6, 32, 32, Getting Attacked
4, 2, -50, 1357, At War Decay
4, 5, -50, 0, At War Decay
4, 5, 32, 32, Attacking
5, 4, 80, 200, Getting Attacked
4, 5, 32, 64, Attacking
5, 4, 32, 232, Getting Attacked
5, 4, -50, 182, At War Decay
5, 6, -50, 0, At War Decay
6, 5, -50, 0, At War Decay
4, 2, -50, 1307, At War Decay
4, 5, -50, 14, At War Decay
5, 4, -50, 132, At War Decay
6, 5, 32, 32, Attacking
5, 6, 32, 32, Getting Attacked
6, 5, 32, 64, Attacking
5, 6, 32, 64, Getting Attacked
4, 2, -50, 1257, At War Decay
4, 5, -50, 0, At War Decay
4, 5, 32, 32, Attacking
5, 4, 32, 164, Getting Attacked
5, 4, -50, 114, At War Decay
5, 6, -50, 14, At War Decay
5, 6, 16, 30, Attacking
6, 5, 80, 144, Getting Attacked
5, 6, 32, 62, Attacking
6, 5, 32, 176, Getting Attacked
6, 5, -50, 126, At War Decay
6, 5, 32, 158, Attacking
5, 6, 32, 94, Getting Attacked
6, 5, 32, 190, Attacking
5, 6, 32, 126, Getting Attacked
4, 2, -50, 1207, At War Decay
4, 5, -50, 0, At War Decay
4, 5, 32, 32, Attacking
5, 4, 32, 146, Getting Attacked
5, 4, -50, 96, At War Decay
5, 6, -50, 76, At War Decay
5, 6, 16, 92, Attacking
6, 5, 32, 222, Getting Attacked
5, 6, 32, 124, Attacking
6, 5, 80, 302, Getting Attacked
6, 5, -50, 252, At War Decay
6, 5, 32, 284, Attacking
5, 6, 80, 204, Getting Attacked
4, 2, -50, 1157, At War Decay
4, 5, -50, 0, At War Decay
4, 5, 32, 32, Attacking
5, 4, 32, 128, Getting Attacked
5, 4, -50, 78, At War Decay
5, 6, -50, 154, At War Decay
5, 6, 32, 186, Attacking
6, 5, 32, 316, Getting Attacked
6, 5, -50, 266, At War Decay
6, 5, 32, 298, Attacking
5, 6, 32, 218, Getting Attacked
4, 2, -50, 1107, At War Decay
4, 5, -50, 0, At War Decay
5, 4, -50, 28, At War Decay
5, 6, -50, 168, At War Decay
5, 6, 32, 200, Attacking
6, 5, 32, 330, Getting Attacked
6, 5, -50, 280, At War Decay
4, 2, -50, 1057, At War Decay
5, 4, -50, 0, At War Decay
