Game Turn, From, To, Initiator, Type, SubType, Message
45, 4, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
45, 4, 2, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
47, 3, 0, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
47, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Adding to pending
47, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Statement
47, 3, 0, 3, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Immediately
48, 1, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
48, 6, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
48, 6, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
48, 6, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
48, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
48, 6, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
48, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
51, 2, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
51, 2, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
51, 2, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
51, 5, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
51, 5, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
51, 5, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
51, 5, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
51, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Adding to pending
51, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Statement
51, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Immediately
51, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
51, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
51, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
51, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
51, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
51, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
51, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
51, 6, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
51, 6, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
51, 6, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
53, 2, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
53, 4, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
53, 8, 1, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
54, 5, 2, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
54, 6, 8, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
54, 6, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
54, 6, 8, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
54, 8, 6, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
54, 8, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
54, 8, 6, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
55, 8, 1, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
55, 8, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
55, 8, 1, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
55, 9, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
56, 6, 9, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
56, 6, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
56, 6, 9, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
56, 1, 6, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
56, 1, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
56, 1, 6, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
56, 1, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
56, 1, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
56, 1, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
56, 6, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
56, 6, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
56, 6, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
56, 9, 6, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
56, 9, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
56, 9, 6, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
57, 4, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
57, 5, 0, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
57, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Adding to pending
57, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
57, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Already has open session!
57, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
57, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Already has open session!
57, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Processing Statement
57, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Processing Immediately
58, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
58, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Adding to pending
58, 4, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
58, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
58, 4, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
58, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
58, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
58, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
58, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Statement
58, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Immediately
59, 6, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
59, 6, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
59, 6, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
60, 6, 1, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
60, 6, 9, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
60, 8, 21, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
61, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
61, 4, 6, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
61, 4, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
61, 4, 6, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
61, 6, 4, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
61, 6, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
61, 6, 4, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
62, 5, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
62, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Adding to pending
62, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Statement
62, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Immediately
62, 0, 5, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
62, 0, 5, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
62, 0, 5, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
62, 0, 5, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
62, 5, 0, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
62, 5, 0, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
62, 5, 0, 5, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
64, 8, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
64, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
64, 6, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
64, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
65, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
66, 6, 1, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
66, 6, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
66, 6, 1, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
66, 6, 2, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
66, 6, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
66, 6, 2, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
69, 6, 4, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
72, 4, 5, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
72, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
72, 4, 5, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
72, 5, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
