Game Turn, From, To, Initiator, Type, SubType, Message
83, 8, 4, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
84, 5, 14, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
84, 9, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
84, 9, 6, ?, MAKE_PROMISE, 9c55a0d8, ?, Processing Action From AI to AI
84, 9, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
85, 1, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
85, 8, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
85, 9, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
85, 9, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
85, 9, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
86, 8, 1, -1, WARNING_STOP_CONVERTING_MY_CITIES, NONE, 00000000, Requesting Session (B)
86, 8, 1, ?, MAKE_PROMISE, ef5ea8c1, ?, Processing Action From AI to AI
86, 8, 1, -1, WARNING_STOP_CONVERTING_MY_CITIES, NONE, INITIAL, Requesting session between two AIs!
86, 5, 4, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
86, 6, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
86, 6, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
86, 6, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
86, 6, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
86, 6, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
86, 6, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
86, 6, 0, -1, FIRST_MEET_NEAR_INITIATOR, NONE, 00000000, Requesting Session (B)
86, 6, 0, 6, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Adding to pending
86, 6, 0, 6, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Statement
86, 6, 0, 6, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Immediately
86, 0, 6, 6, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Adding to pending
86, 0, 6, 6, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Broadcasting
86, 0, 6, 6, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Processing Statement
86, 0, 6, 6, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Processing Immediately
86, 0, 6, ?, STATEMENT_RESULT, ffffffff, ?, Sending Action
86, 6, 0, 6, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Adding to pending
86, 6, 0, 6, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Processing Statement
86, 6, 0, 6, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Processing Immediately
86, 0, 6, ?, STATEMENT_RESULT, ffffffff, ?, Processing Action
87, 4, 2, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
88, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
88, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
88, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
88, 5, 4, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
88, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
88, 5, 4, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
88, 6, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
88, 6, 0, 6, MAKE_DEAL, NONE, INITIAL, Adding to pending
88, 6, 0, 6, MAKE_DEAL, NONE, INITIAL, Processing Statement
88, 6, 0, 6, MAKE_DEAL, NONE, INITIAL, Processing Immediately
88, 0, 6, 6, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
88, 0, 6, 6, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
88, 0, 6, 6, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
88, 0, 6, 6, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
88, 6, 0, 6, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
88, 6, 0, 6, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
88, 6, 0, 6, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
89, 3, 9, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
89, 4, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
89, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
89, 4, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
90, 9, 0, -1, FIRST_MEET_NO_MANS, NONE, 00000000, Requesting Session (B)
90, 9, 0, 9, FIRST_MEET_NO_MANS, NONE, INITIAL, Adding to pending
90, 9, 0, 9, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
90, 9, 0, 9, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Immediately
90, 0, 9, 9, FIRST_MEET_NO_MANS, NONE, POSITIVE, Adding to pending
90, 0, 9, 9, FIRST_MEET_NO_MANS, NONE, POSITIVE, Broadcasting
90, 0, 9, 9, FIRST_MEET_NO_MANS, NONE, POSITIVE, Processing Statement
90, 0, 9, 9, FIRST_MEET_NO_MANS, NONE, POSITIVE, Processing Immediately
90, 9, 0, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, 00000000, Adding to pending
90, 9, 0, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, 00000000, Processing Statement
90, 9, 0, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, 00000000, Processing Immediately
90, 0, 9, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Adding to pending
90, 0, 9, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Broadcasting
90, 0, 9, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Processing Statement
90, 0, 9, 9, FIRST_MEET_NO_MANS_INFO_EXCHANGE, NONE, POSITIVE, Processing Immediately
90, 0, 9, ?, STATEMENT_RESULT, ffffffff, ?, Sending Action
90, 9, 0, ?, ?, ?, ?, Closing Session
90, 0, 9, ?, STATEMENT_RESULT, ffffffff, ?, Processing Action
90, 1, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
90, 8, 5, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
90, 8, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
90, 8, 5, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
90, 8, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
90, 8, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
90, 8, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
91, 2, 4, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
91, 4, 2, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
91, 9, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
91, 9, 0, 9, MAKE_DEAL, NONE, INITIAL, Adding to pending
91, 9, 0, 9, MAKE_DEAL, NONE, INITIAL, Processing Statement
91, 9, 0, 9, MAKE_DEAL, NONE, INITIAL, Processing Immediately
91, 0, 9, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
91, 0, 9, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
91, 0, 9, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
91, 0, 9, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
91, 9, 0, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
91, 9, 0, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
91, 9, 0, 9, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
92, 3, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
92, 3, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
92, 3, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
92, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
92, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
92, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
94, 4, 2, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
94, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
94, 4, 2, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
96, 1, 7, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
96, 1, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
96, 1, 7, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
96, 1, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
96, 1, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
96, 1, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
96, 7, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
96, 7, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
96, 7, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
96, 2, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
96, 2, 4, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
96, 2, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
96, 6, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
96, 6, 0, 6, DIPLOMATIC_KUDO, NONE, INITIAL, Adding to pending
96, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
96, 6, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
96, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
96, 6, 0, 6, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Statement
96, 6, 0, 6, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Immediately
96, 7, 0, -1, FIRST_MEET_NEAR_INITIATOR, NONE, 00000000, Requesting Session (B)
96, 7, 0, 7, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Adding to pending
96, 7, 0, 7, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Statement
96, 7, 0, 7, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Immediately
97, 1, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
97, 4, 2, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
97, 6, 2, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
97, 6, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
97, 6, 2, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
97, 6, 4, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
97, 6, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
97, 6, 4, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
98, 3, 9, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
98, 3, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
98, 3, 9, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
98, 4, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
98, 8, 1, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
98, 9, 3, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
98, 9, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
98, 9, 3, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
99, 1, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
99, 1, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
99, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
99, 4, 5, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
99, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
99, 4, 5, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
99, 5, 1, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
99, 5, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
99, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Adding to pending
99, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Statement
99, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Immediately
99, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
99, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
99, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
99, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
99, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
99, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
99, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
99, 6, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
99, 6, 0, 6, MAKE_DEAL, NONE, INITIAL, Adding to pending
99, 6, 0, 6, MAKE_DEAL, NONE, INITIAL, Processing Statement
99, 6, 0, 6, MAKE_DEAL, NONE, INITIAL, Processing Immediately
99, 0, 6, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
99, 0, 6, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
99, 0, 6, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
99, 0, 6, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
99, 6, 0, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
99, 6, 0, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
99, 6, 0, 6, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
100, 4, 8, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
100, 6, 4, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
100, 9, 0, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
100, 9, 0, 9, DIPLOMATIC_WARNING, NONE, INITIAL, Adding to pending
100, 9, 0, 9, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Statement
100, 9, 0, 9, DIPLOMATIC_WARNING, NONE, INITIAL, Processing Immediately
101, 6, 1, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
101, 7, 1, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
101, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
101, 8, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
101, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
102, 1, 5, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
102, 1, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
102, 1, 5, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
102, 4, 5, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
102, 5, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
102, 5, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
102, 5, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
102, 5, 6, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
102, 5, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
102, 5, 6, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
102, 6, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
102, 6, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
102, 6, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
102, 6, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
102, 6, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
102, 6, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
103, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
103, 6, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
103, 8, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
103, 8, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
103, 8, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
104, 3, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
104, 3, 0, 3, MAKE_DEAL, NONE, INITIAL, Adding to pending
104, 3, 0, 3, MAKE_DEAL, NONE, INITIAL, Processing Statement
104, 3, 0, 3, MAKE_DEAL, NONE, INITIAL, Processing Immediately
104, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
104, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
104, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
104, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
104, 3, 0, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
104, 3, 0, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
104, 3, 0, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
104, 4, 8, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
104, 4, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
104, 4, 8, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
105, 1, 8, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
105, 1, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
105, 1, 8, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
106, 5, 6, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
106, 7, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
106, 7, 0, 7, MAKE_DEAL, NONE, INITIAL, Adding to pending
106, 7, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
106, 7, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
106, 7, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
106, 9, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
106, 9, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
106, 9, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
106, 7, 0, 7, MAKE_DEAL, NONE, INITIAL, Processing Statement
106, 7, 0, 7, MAKE_DEAL, NONE, INITIAL, Processing Immediately
106, 0, 7, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
106, 0, 7, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
106, 0, 7, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
106, 0, 7, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
106, 7, 0, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
106, 7, 0, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
106, 7, 0, 7, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
107, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
108, 5, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
108, 5, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
108, 5, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
108, 5, 1, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
108, 5, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
108, 5, 1, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
108, 8, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
108, 8, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
108, 8, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
108, 9, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
108, 9, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
108, 9, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
109, 5, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
109, 5, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
109, 5, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
110, 1, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
110, 1, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
110, 1, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
110, 3, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
110, 3, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
110, 3, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
110, 5, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
110, 5, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
110, 5, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
110, 5, 8, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
110, 5, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
110, 5, 8, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
110, 5, 8, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
110, 5, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
110, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Adding to pending
110, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Statement
110, 5, 0, 5, MAKE_DEAL, NONE, INITIAL, Processing Immediately
110, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
110, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
110, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
110, 0, 5, 5, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
110, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
110, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
110, 5, 0, 5, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
110, 8, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
110, 8, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
110, 8, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
110, 9, 6, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
110, 9, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
110, 9, 6, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
111, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
111, 3, 1, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
111, 5, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
111, 5, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
111, 5, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
111, 5, 7, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
111, 5, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
