Game Turn, Realism, Total CO2, CO2 Bldgs, CO2 Projects, CO2 Routes, CO2 Units, Deforestation, ClimateChange, Volcanoes (Total), NW Volcanoes, Volcanoes (Active), Eruptions, Floodable Rivers, Floods, NaturalWonderEruptions
2, 2, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 0, 0
3, 2, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 0, 0
4, 2, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 0, 0
5, 2, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 0, 0
2, 2, 0, 0, 0, 0, 0, 0, 0, 9, 2, 0, 0, 1, 0, 0
2, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 5, 0, 0
3, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 7, 0, 0
4, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 9, 0, 0
5, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 9, 0, 0
6, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 10, 0, 0
7, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 10, 0, 0
8, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 10, 0, 0
9, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 10, 0, 0
10, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 11, 0, 0
10, STORM, Severity = 1, 심해지는 먼지 폭풍, Center at: (57 - 22), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
11, ENHANCED TILES, At plot: 2168, 2264,
11, STORM, Severity = 1, 심해지는 먼지 폭풍, Center at: (54 - 23), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 1
11, STORM MOVEMENT, 2168,2263,2167,2262,
11, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 11, 0, 0
