[2022-04-03 13:04:28]	,----- FRAME: 3045 time: 8.48ms Moving avg: 13.66ms 28 frames since last 
[2022-04-03 13:04:32]	,        UIManager_ProcessInput, 31.19 ms
[2022-04-03 13:04:32]	,                SerialEvent::QuerySaveGames, 5.21 ms
[2022-04-03 13:04:32]	,----- FRAME: 3257 time: 13.56ms Moving avg: 16.28ms 213 frames since last 
[2022-04-03 13:04:34]	,    UIManager_ProcessInput, 303.25 ms
[2022-04-03 13:04:34]	,                LuaContext::AdvancedSetup, 29.12 ms
[2022-04-03 13:04:34]	,            SerialEvent::FinishedGameplayContentConfigure, 29.48 ms
[2022-04-03 13:04:34]	,----- FRAME: 3390 time: 39.08ms Moving avg: 16.85ms 134 frames since last 
[2022-04-03 13:04:34]	,    UIManager_ProcessInput, 44.61 ms
[2022-04-03 13:04:34]	,----- FRAME: 3392 time: 14.99ms Moving avg: 16.58ms 3 frames since last 
[2022-04-03 13:04:39]	,                                UIManager_ProcessInput, 52.97 ms
[2022-04-03 13:04:39]	,----- FRAME: 3694 time: 9.68ms Moving avg: 16.33ms 303 frames since last 
[2022-04-03 13:04:39]	,    UIManager_ProcessInput, 48.89 ms
[2022-04-03 13:04:39]	,----- FRAME: 3697 time: 5.31ms Moving avg: 15.70ms 4 frames since last 
[2022-04-03 13:04:40]	,    UIManager_ProcessInput, 49.55 ms
[2022-04-03 13:04:40]	,----- FRAME: 3704 time: 7.61ms Moving avg: 14.20ms 8 frames since last 
[2022-04-03 13:04:40]	,    UIManager_ProcessInput, 55.08 ms
[2022-04-03 13:04:40]	,----- FRAME: 3719 time: 7.27ms Moving avg: 10.84ms 16 frames since last 
[2022-04-03 13:04:40]	,    UIManager_ProcessInput, 61.80 ms
[2022-04-03 13:04:40]	,----- FRAME: 3720 time: 6.47ms Moving avg: 10.69ms 2 frames since last 
[2022-04-03 13:04:40]	,    UIManager_ProcessInput, 42.84 ms
[2022-04-03 13:04:40]	,----- FRAME: 3744 time: 6.35ms Moving avg: 5.98ms 25 frames since last 
